text,intent,severity
@116016 I can’t even buy a bottle cause you fuck ass niggas taking hella long to send me my new card smh,other,2
@525112 Thanks @TMobileHelp for releasing this right after I bought the V30,other,2
"@Uber_Support @119983 I left my mobile inside cab, cab driver has accepted he has the mobile.. though he is no mood to give me back.",other,2
@SouthwestAir we’re already rebooking elsewhere. We spoke with customer service on the phone and were offered zero help,other,2
"@436146 Hi Selina, sorry for this. Can you contact the guard on the train, please? ^GV",other,2
@783441 We have sent you a DM.,other,2
"@773447 Good morning Alyssa. I'm sorry for the delayed response to your post. If you would please DM your account or phone number for me, I will be happy to look into this for you. ^MO",other,2
@AmazonHelp can you pls give me the link from where i can enable the  Saavn skill for Alexa?,other,2
"@251003 Oh no, I'm sorry your order is late! Have we updated the expected delivery date on your order? Who is the carrier for this delivery? You can check that here: https://t.co/Y5jpI9ys9c ^EA",other,2
@333470 Hi Vandana. Correction is done.May refer to your email for the updated itinerary.Thanks-Emir,other,2
"@115850 Hey Hi!
Don’t know what’s happening with my order it says arriving today since yesterday and today. Also delivery person’s number is wrong!",other,2
@169981 恐れ入ります。ツイートでお相手をしていただき、ありがとうございました。(調子乗って絵文字を使いすぎないようにしなきゃ…)O o｡.(´-`*) RI,other,2
@256011 Hey there! I'm sorry to hear that this has occurred again. Please send us a DM with more details and I'll be happy to assist you to the best of my abilities! ^SB,other,2
@370430 We're very sorry for the long lines but we'll have you to your gate ASAP. We appreciate your patience.,other,3
"@432362 Hello Kelsey, here to help! Send us a note via https://t.co/aJtaJUwNEK and we'll be in touch.",other,1
Ordered on 11 Oct; still waiting for product. What a service @115850,shipping_issue,3
I admit it: I am digging the retro TWA tail logo on this @AmericanAir @116705 737 https://t.co/4Y7rJeQwjh,feedback,1
@SouthwestAir totally sucks!! Had my professional camera broken by their baggage handlers and they refuse to pay a measly $129 bucks to repair it. Never flying with them again! 😡,shipping_issue,3
I️ haven’t updated to 11.1 yet and my phone started yesterday autocorrecting with the square question box in a lot of my text. @AppleSupport,technical_issue,2
@AppleSupport Any reason why Spotify lockscreen widget and slide up menu functionality is gone with new iOS update? #CmonBruh,technical_issue,2
"@British_Airways Nonsense, you don't give a shit about your passengers... I speak from multiple painful experiences! You won't last long if you don't change!",feedback,3
"@115873 @Uber_Support please assist, being prevented from using uber by metered taxis. Physically preventing me from getting in to the uber car",other,3
@AskAmex,other,1
@302336 I'm sorry for the delay! We strive to deliver by the date given in your confirmation e-mail. Have we missed that ^TK,other,2
@516331 The timing is at risk. There is a later flight we can book you on if you would like us to make the change at this time. *AJL,other,2
"@500460 Hi, Alison. Glad to see you got a cheaper deal, but sorry to say expiration dates are final and we're not able to alter them. ^AC",other,2
@119625 Any plans to add Kannada movies? Not finding even a single Kannada movie on Amazon prime video. really disappointed..!!😢,other,2
@AppleSupport I will.,other,2
"@410298 Hi Edward, here are the pricing details: https://t.co/irJeJkJEoC You can ask further Q's here: https://t.co/8HGUoHsSmF 👍 ^TI",other,2
"@526095 Apologies, please contact us here: https://t.co/JzP7hlA23B so an agent can look into this further for you. ^JJ",other,2
".@AmazonHelp I bought a Kindle 10 on Friday, now it's on saw for $50 less- what recourse so I have to get the $50 back?",other,2
I fucking hate banking with @116016 such a stupid ass bank,other,2
@789487 We'll try! ^MW,other,2
@AmericanAir are you guys waiting until my vacation is over to send me my bags that you forgot to put on the plane? Thanks🙄,other,2
@575844 Could you DM your record locator? We'd be happy to check on the flight status.,other,2
@387788 We’ve got our winners but there’s another chance at 4pm on Oahu. https://t.co/6XPuIi3dkQ -Shannon,other,2
.@comcastcares {New Rule: Every day I post speed result until its fixed} My @55 result! How slow is your net? https://t.co/pacpY9uWFQ,other,2
@618648 We're happy to help with this. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,other,2
@526048 I'd like to see what I can do to help. Pls click the link below to send your name/zip/phone. ^nb https://t.co/CoOXedUuUC,other,2
"@AmazonHelp My friend, am just suggesting to provide ""made in"" in the tech.specs. Thats all,if i want to purchase sumthing, i must kno where its made in",other,2
@794308 This isn't what we like to hear! Have you received an updated delivery date yet? ^BH,other,2
@713755 Do you have a preferred time? Weekday or Weekend? - Jordan,other,2
@AirbnbHelp I’ve just sent you a rn,other,2
@VirginTrains Well Done Virgin a few years when the Shrewsbury to London was launched the driver allowed me to have a photo of me in the Cab it wasamazing,other,2
@AppleSupport I did love lol,other,2
hello dear Apple team skin times but an update out so that the battery does not go so quickly empty @115858,other,2
@Tesco I've already emailed through a complaint. You've probably stopped stocking it to try and push people into buying your own brand milk.,other,2
@458358 We appreciate your interest. Please visit https://t.co/V3uQr9GYKV for more info on our products. Thanks. ^vt,other,2
@SpotifyCares @125633 Hi I reached out through email weeks ago requesting an artist separation. Still haven't heard back. Pls help,other,2
@VerizonSupport getting this message on the Watch ESPN App. Help! https://t.co/4htK77l7TO,other,2
@AmazonHelp Will do.,other,2
"@353132 As I mention before, we are currently looking into this issue. If you want me to add your case to our records please...^RN",other,2
@airtel_care hello. Pls for the past 3 days my line refuses to connect to any Mtn line. I can call other networks though,other,2
"@457528 Hey Sharron, saw your tweet! What seems to be the issue? What's your printer model and windows version of your PC?...1/2",other,2
@AmazonHelp Didn't recieve any response from your feedback team,other,2
"@809240 If you haven't received your package by Thursday, please don't hesitate to reach out to us here: https://t.co/hApLpMlfHN ^LJ",shipping_issue,2
@Uber_Support Thanks!,feedback,1
@544269 $1/month for service is robbing you blind? Tell us more....,billing_issue,3
"@797159 Were you able to check here, https://t.co/8LOVETaUnZ ,for that availability? ^RMD",other,1
@115858 this is the worst upgrade. Full of glitches. red pixels on the mid top left of the screen. Loading bar looks abnormal. #HighSierra https://t.co/5hUh5sF1Tk,technical_issue,3
"Omg why is the 7.51 to London Paddington cancelled!! 😡🤬 More trains needing repairs at the same time?! WHAT! I now can’t get to work until 10.30, over 2 hours late! I assume I will be refunded? I have a monthly ticket as well. @GWRHelp",shipping_issue,3
@408113 Hi Tiffany. I have responded to your DM's. :) - Alisha.,other,1
"@276756 Hello Terri,  Are you testing your speeds wired or wireless?
^NHP",technical_issue,2
"got [REDACTED] coming in the mail to my apt today, which is doubly perilous since 1) UPS ninjas are delivering and 2) folk steal mail here",shipping_issue,3
@ChipotleTweets Bring back Chorizo! That was my favorite meat on the menu :/,feedback,1
"@696374 Hey, Cliff! Our team is still investigating and working to have a resolution ASAP. So sorry for any frustration this has caused!",other,2
@British_Airways Update every 20 years then,other,2
"@297813 Hi there! We're still not available in Saudi Arabia, but we're launching regularly in countries around the world. Sign up here to be first to hear: https://t.co/XDwWzj7cLP /BM",other,2
oh ffs @British_Airways can it really beyond the wit of a big company like yours to answer the phone within 15 mins? Is the saving on call staff cut backs worth the negative customer view? #talktoyouraccountants,other,2
"@167969 I'm happy to check for you. You can always check the status online at https://t.co/qAC5kL7WBd under ""My Account"" or with the XFINITY ""My Account"" app on your cell phone or tablet device. -EM",other,2
"@idea_cares Customer care @ https://t.co/T2UbURmzi8 is pathetic. Charges 10rs for 4G sim, post to pre conversion etc. Please take action.",other,2
"Uber canceled on me as I walked up to the car , wow @115873 Mahabubul in the silver Chevy Malibu is a DISGRACE",other,2
@282974 Here to help! Send us a note here: https://t.co/dwDjAokZht and our team will be in touch.,other,2
If you like to play with your money buy a chair in Argos_Online you always will loose ArgosIreland_PR,other,2
"@419223 Our apologies for the less than ideal travel experience today, John. Please DM us so we can follow up. ^MK",other,2
"@650534 As informed you that Please visit Idea store for further assistance. Regards,Sneha.",other,2
"@British_Airways delay out of Valencia to LGW, have connection at 8pm to Belfast. What to do?",other,2
@AmazonHelp @115851 [1/3]ANOTHER FRESH CASE. SAFE-T CLAIM TEAM DENIED CLAIM WITHOUT EVEN CHECKING THE FACTS. WHAT KIND OF HISTORY AND PATTERN YOUR https://t.co/HrMg6nEPzv,other,2
Female pilots rock! @Delta https://t.co/GHqCMoV8Ga,other,2
Dear @115714 I am not sure if I can continue to be a loyal customer. I have been with you since @115714 acquired Nextel. https://t.co/tXjOpqWsYp,other,2
"@SouthwestAir Back in '05 when hurricane Rita was coming I used points to book a flight out of HOU. We drove with no traffic to Hobby, then got into the biggest security line ever. 4 hours.  only made the flight because SWA flew in more gate agents to help with security.  Traffic avoidance",other,2
"@JetBlue Not even food for hours. Delays since 3 pm. Kind of a fail to not even cover food with delay after delay, flight change, airport change...",other,2
"@AppleSupport Why?

I just spoke to your Exec and got told to get lost over this issue. Waiting on @116333 to replace device.

https://t.co/yoE5WRVmKG https://t.co/8kEQKbmmgv",other,2
@343341 Please reach out to us here so we can help you out https://t.co/hApLpMlfHN ^KM,other,2
@Uber_Support It's saying it takes 24 hours for a reply great customer service !!,other,2
@524444 From there you have the option to do an 18 month Lease with sprint Flex or pay full price for the device. -Felicia R,other,2
"@528286 Hi Emy, we has resend the itinerary to __email__. Check it out . Thanks- Mariya",other,2
@150400 @VirginTrains @751781 We can make it longer Ethan? ^KM,other,2
"@624515 We'll translate to the best of our abilities, but can only respond in English. Can you DM us with more details? ^MB",other,2
@686905 No problem. If you have any further questions or need any other assistance please reach out to us. -STS,other,2
@394505  There is no info to share at the moment. Feel free to keep an eye on the PS Blog for news and updates: https://t.co/aLtfBAztyC,other,2
"@AskCiti I will try all my technology is infected with spyware. I reached out because I'm cut off from normal private and social interactions. And I can't trust mail via USPS. My family are victims of arranged corruption and torture.
God bless you.",other,2
@129632 Can I also have your permission to pass these details to the supplier? TY- Charlotte 3/3,other,2
"@ChipotleTweets I went there last night to get some food. I asked for a bowl. I asked for lettuce to be put on top, I didn’t get that, the guacamole tasted horrible and very very soft, and there was corn inside my bowl which I didn’t ask for.",other,2
@O2 Thanks,other,2
Get your crap together @AppleSupport what is this mess https://t.co/bdbfX2mPlO,other,2
"@795248 Yes, you are allowed to bring your laptop. Please do not check it with your checked luggage.  *TMS",other,2
"@484209  Hi, we are sorry for the inconvenience. Pls visit the financial center where the ATM was located for additional assistance. ^am",other,2
"@242772 Hi there, we're sorry to hear that. Have a chat with us here: https://t.co/Cmkj1UKBJt and we'll take a look for you.",other,2
.@115913 @115911 Your returns warehouse lost my defective iPhone 8. They say they never received it. Tracking number says otherwise.,other,2
@Ask_Spectrum Yes dm= direct message it’s a twitter term...,other,2
@297564 query including your Customer Relations case reference. We'll take a look at this for you.^Jo 2/2,other,2
@116827 Really WF? $30 to wire $? WTF? Is that necessary? Come down from your cloud &amp; do something good for the American middle class.,other,2
@CoxHelp Why is my bill going up again?! And without notice! I can't afford this anymore! This is outrageous!,other,2
"@116216 No puedo realizar otra compra desde mi ps3 por PayPal ""revisar historial de transacciones"" ayuda!!!!",other,2
WHY TF IS THERE ONLY TWO BANK OF AMERICA ATMS!!! ???,other,2
@319237 Please connect with our kindle support team here: https://t.co/2sSkrrzAmv and we'll be happy to help. ^SH,other,2
"@665345 Apologies, has the tracking on your order been updated since yesterday: https://t.co/aaDyEz1VgE? ^JJ",other,2
@236386 @117627 We would reply you on that. ^GM,other,2
@SouthwestAir please enforce the family boarding policy. So frustrating when my 13 year old traveling alone has to board after families of 8 with no kids under the age of high school senior.,other,2
"@115783 what is it with your company and Indian card payments , can’t seem to add a payment method as a debit or credit card! Pls advice",other,2
"@793291 I'm sorry for the frustration, Andrea. While we can't reinstate canceled orders, we'd like to look into this with you. Please contact us via phone or chat: https://t.co/JzP7hlA23B ^KB",other,2
"“packages may arrive 36 hours after they’ve been reported delivered” ?? ¿@115821, what is this horseshit? Do you really not know where your OWN delivery service put the thing? How about: they didn’t deliver it but marked it delivered to meet their ridiculous metrics?",other,2
"@764251 Hi Mosa, let's see what we can do to help! Have you gone as far as being locked out of your account? ^PM",other,2
"@290593 link https://t.co/mtlyvnWpph, reply in direct message https://t.co/39tixhtuXP. 2/2 ^Susan",other,2
"@291897 Good evening Rodmehr, what menus were you trying to get to? ^RMD",other,2
Of course @SW_Help would make getting refund for train delays more complex. Now need to indivially apply for each delay within 28 days 😡,billing_issue,2
@301171 Rest assured our technicians are working diligently to get your service restored as quickly and efficiently as possible.^TwaC,technical_issue,3
@696810 Hello. We do not have a scheduled release date at this time. ^er,general_query,1
"Got a couple damaged boxes of products that I collect, which option do I choose under return to get replacements instead of refunds for the products? @AmazonHelp https://t.co/hacdoLCtHK",shipping_issue,2
@115956 If you change you're mind please let us know. ^RR,other,1
@533013 Glad to hear that! Thanks a lot for working with them.,feedback,1
"@467421 Hi, please share the M-sa confirmation text received we check.^WW",billing_issue,2
@sizehelpteam hi had an issue with my Adidas Koln order's just now regarding the address and the post code. Could I DM you to ammend this  ?,shipping_issue,3
"@139114 That's odd, Emma! Fast data speeds are super important to me so I'd love to figure this out for ya. DM us here so we can look into your connection with you. *BlakeT",technical_issue,3
@AmazonHelp Todo jaja 😊😊,other,1
@AmazonHelp No directly from amazon,other,1
@450436 Hi there Cathie. Really sorry for any discomfort caused. This was due to more trains than usual being in for repair - Josh,technical_issue,3
@246638 hey man,other,2
@182880 Hi there! Please reach out to https://t.co/zUe0dj6yoX and fill out the 4 boxes at the bottom so we can get in touch.,other,2
@119350 It is our pleasure assisting you. Do let us know in case you face any further issues. ^KS,other,2
@115858 ever since i update my phone i been having all these issues. What’s the problem,other,2
@205733 possiamo avere maggiori info? ^BC,other,2
@MicrosoftHelps No. Turns out a big Windows update was downloading in the background. That might have been part of it.,other,2
@642714 @XboxSupport is there a problem in the hdmi cable like a kink or plugged in slightly wrong?,other,2
"@195059 any service center refuses to honor the warranty, and if a customer helps us with a service denial letter (2/3) ^KA",other,2
@690186 We'll be happy to help with this issue. Check out this article: https://t.co/8MvHMFZ83h Still need help? Send us a DM using the following link: https://t.co/GDrqU22YpT,other,2
@260503 We currently do not have Kannada content on the service. Please stay tuned as we expand our content selection.^VH,other,2
@AmazonHelp I haven't signed up to prime. Accessing my bank account without my permission is surely classed as fraudulent activity or theft...,other,2
@idea_cares  Getting 2G services in a City Like New Delhi .Should I port to @30938 or @1399  for 4G services ? https://t.co/6AEN718Xpq,other,2
@131434 is comprising @117473 users by sending our login details via San Francisco IP when were in the UK. This put a fraud block on my account FIX UP!!!,other,2
@British_Airways trying to book one way flight why is it over £200 more expensive to book one way from spain to London than it is if I wanted to book a return very unfair!,other,2
@AppleSupport Are you guys going to answer me or?,other,2
Where’s the Spotify video for Wolves?,other,2
@685451 Hey there. I am very sorry about this. Please give me a moment.  *HFG,other,2
@118424 @airtel_care 08089539453,other,2
@573932 Excellent question! We need to take a look at what plan you have on there so we can get you taken care of. Please send a DM. *JPL,other,2
@idea_cares @118471 2/2 need my money in idea wallet or activate data plan,other,2
.@116136 getting an error XRE-03121 Help please,other,2
"@151289 We see both of your messages. We're glad all is fine, but if you should need us, just reach back out. We'll be here for you.",other,2
"@marksandspencer Seems a shame to appropriate the festivity without any inclusion of meaning, even within a secular society. Hope it doesn't bite you.",other,2
@230383 Were you able to repro the bugs you were running into? ^DO,other,2
@AmazonHelp Yes,other,2
@AppleSupport updated iPhone 6s to latest firmware  phone is now constantly locking up despite constant resetting #applesucks https://t.co/KzEtFY0Gbf,technical_issue,3
"@SpotifyCares US
Visions of Gideon
Mystery of Love",other,2
"@675210 Hi there, We are unable to service or locate your Bluebird Pre-paid card via twitter.",other,2
"@AmazonHelp Si, me indican reembolso realizado el 31/10",other,2
@254556 Sorry for the trouble! Send us a note via https://t.co/e8HVorX5rh so we can connect.,other,2
"@390901 Thanks for checking on us! We haven't had any reported outages, though! Are you receiving an error? ^LB",other,2
@115873 your app is frozen this is very difficult for my uber driver to get me home. It’s 3:19 am. https://t.co/cxzbmzMbfH,other,2
"@189612 We don't want to lose you, Todd. We're committed to getting you some options that work with your budget. DM us so we can explore. *WhitneyJ",other,2
@Tesco Why don’t you reply publicly so everyone can see how poor your customer service is?,other,2
@VirginAtlantic @Delta A previous flight. I've contacted @Delta @VirginAtlantic multiple times and have been waiting weeks for a response. The flight was the 12th September. Please let me know how I can get a response!,other,2
@ChipotleTweets y’all couldn’t have texted about the app that gives rewards before I bought lunch there ?????,other,2
@Tesco Can you only order your gift card in £20's?,other,2
"@372750 Please don't provide your details, we consider it personal information. Our Twitter page is visible to public. ^HD",other,2
For the love of god @115940 change up your ads a little bit for your shows. I’ve seen the same 2-3 commercials literally 89 times in the past couple of days 😑,other,2
@XboxSupport Sorry but I brought a Xbox Live card (12 months) and not added my other 2 months for my last suscription :(,other,2
"@124422 Do you know what version of the iOS is on the device? Also, is it only the Snapchat notifications that pause the music? Let us know in Direct Message. https://t.co/GDrqU22YpT",other,2
"@197211 We hope this makes the highlight reel, Meg! Thanks for sharing and thanks for choosing Southwest! ^JB",other,2
@Ask_Spectrum Regretfully I've tried that only to be transferred to the wrong call center.   Can you please help me,other,2
"@183888 Hello, Nicklas. Sorry for the inconvenience. If you need any help, let us know.  *ARD",other,2
@371545 Sorry to hear of the trouble! We're following up with your DM now. https://t.co/SXpdictw1A,other,2
driver quoted excess fair. Waited.on cancelling the trip I was charge Rs 36. Kindly get it refund.@115873 @116288 @119983,other,2
@153030 We see our airport team has you rebooked with confirmed upgrades on later flights. Our apologies for any inconvenience caused.,other,2
"@115873 yo, so do I get free rides for life since one of your drivers hit my parked car????",other,2
"@197062 This isn't what we like to hear! Are you currently having an issue? If so, can you give us more info? We're here for you! ^KJ",other,2
"Since 2010 we’ve hired 13,000 military members and our commitment continues to grow. https://t.co/7rHLtwha5B",other,1
#Altrincham was busy this morning. Took me over 2 hours to do a food shop. I blame Mildred in @marksandspencer for blocking aisles talking 😂,feedback,1
@116450 doesn't bother to put gate #'S on departure screens at DCA. Just another reason why I fly @Delta,feedback,3
"そして、またもやノートンさんのツールバーが使用できない。
なんかなあ…。
とはいえ、edgeやIEは更に使いにくいので、まあしかたがないかなあ…。",technical_issue,2
"Airport Architecture at Istanbul Ataturk Airport, waiting for @british_airways to… https://t.co/9lmU2nD8T5",other,1
"@AppleSupport iPhone 6S Plus running iOS 11.0.3 so far I only experienced this while recording gameplay+first&amp;last few secs of vid are fine, mid is frozen",technical_issue,3
"@696650 Hello, the product you were looking for is not referenced on our site, that's why you have the closest result to this category. ^BR",general_query,1
"@VirginTrains Advised of a £10 admin fee. Once only once transaction went through they revealed £10, per person, per ticket. Out and return.",billing_issue,3
"@GWRHelp train from Bath Spa - London Paddington ridiculously packed. So busy &amp; airless I fainted before stop at Reading, slumped in aisle!",feedback,3
"@732661 An update was released a few hours ago. If you haven’t yet, please back up your device and update it to iOS 11.1.2. For more info, check out: https://t.co/4f8hwT5to6",technical_issue,3
@130129 So can we pay indian #Paypal account with other indian paypal account? Or is it just for merchant payments?? @AskPayPal @115993,other,2
"@120251 As informed earlier your Ref C1-100395569233 status is still in progress.We will get back to u soon with an update
Rgds,
Komal",other,2
@622127 Look at that view! Thanks for sharing this with us! Have a wonderful flight.😄 *AJC,other,2
@AppleSupport now since your updates the camera isn’t working properly on the iPhone7,other,2
@CenturyLinkHelp I’m on to my fourth person on customer support online.  Are you going to be able to do more than tell me to reboot my modem?,other,2
@221409 Unfortunately once a particular fare sells out we are no longer able to honor that. We regret the inconvenience. ^VP,other,2
@hulu_support Still having issues after going through troubleshooting. Trying to watch football but constant buffering and stuttering issues. Any word on if this will ever improve?,other,2
@Ask_Spectrum @Ask_Spectrum your customer service line hung up on me when I wanted to speak to a human. Is the system designed for frustration? To make bills overdue?,other,2
Terrible job by @AlaskaAir today. Failure to give honest information. Grrr,other,2
"@AmericanAir This response is boiler-plate and inadequate. When AA is at their very best, they’re stellar. This was not your very best.",other,2
"@AppleSupport @574435 Same.

No reason the average consumer should have to be trying to fix our phones because of your software updates.",other,2
My lyft driver is high af.,other,2
"@AirAsiaSupport But I still couldn't use the credit
Can you help?",other,2
"@DropboxSupport @10680 Thanks, I have opened an API ticket. Hopefully your colleagues will be able to fix this :)",technical_issue,3
"xbox live keeps disconnecting dakdhfjskfh JUST LET ME DOWNLOAD MY PURCHASED WITH REAL MONEY GAME, COWARD",other,2
"@800257 If you need assistance, please use the link provided to DM us your tracking and contact information. Thanks ^AD https://t.co/wKJHDXWGRQ",other,2
@115850 shame on Amazon India for cheating the customers. Offered cash back of Rs.1200 on buying Groceries worth Rs.5000 under Amazon Super Value Day. Bought Groceries more than 5000 in May but failed to give cash back even after mote than 10 complaints.,other,2
@AdobeCare I'm on a MacBook Pro version 10.12.6,other,2
@551892 Are you not getting your badge notifications on your apps? We can help with both this and your music controls in DM. https://t.co/GDrqU22YpT,other,2
@AmazonHelp It should be a public matter. I have tried of calling Amazon customer care but havent received my money back.,other,2
@115802 https://t.co/wZ9Pw1nc3x,other,2
@391623 Hi there! Let's check out our guide here for this error code that you're seeing https://t.co/sdxuEV9yCE ^TJ,other,2
@AmazonHelp https://t.co/auLTka5dhJ,other,2
@331200 Check out the response.^TT,other,2
@693762 Thanks.  *AJZ,other,2
"@413184 Hey there, please call us for assistance with this issue. You can find our customer service number by scrolling t... https://t.co/e94r9Pan9G",other,3
"Love how @116062 gave me the run around with their lovely policy on only returning to the same location you made the purchase at in first 24 hours. I was told, ""it's not in our system yet"" Thanks for making an already stressful day, even more stressful! NOT! #CustomerService",feedback,3
"@428433 Are you getting any error message? Please direct message us with more information about what you are seeing. ^SN
 https://t.co/EYpi1mphGM",technical_issue,2
"@324045 PayPal account and PayPal credit exists in their end of the payment process. LMK if the troubleshooting helps, though! 3/3 ^K",billing_issue,3
@421724 you please Direct Message us about the additional help you need? https://t.co/SS2AcJOEWS  2 ^JI,other,2
"@619023 Reach out to us via DM and let us know about all the issues you're currently experiencing, then we can help resolve them! https://t.co/GDrqU22YpT",other,1
@392820 @115888 That would be nice too... not to mention videos etc.,feedback,1
"@201822 Hi! Let's sort this out, Sam. We've found a link that can help you resolve your concern. Check this out: https://t.co/CgWGqmkMgr.",other,2
@503411 @AppleSupport Haha it did it to your tweet 😂,other,1
Can you trade your phone to upgrade if it’s cracked @115714,general_query,1
"@226386 Uh oh! What episode are you viewing, and on what device? Do you happen to recall the captions error, or a timestamp? We'll investigate!",technical_issue,2
"@AirbnbHelp No thank you me a person that has knowledge about you guy computer F*** up and mistakes . Get me someone that at least took the time to learn about  the issue, that wont ask me “ so what do you want “ ? Or at least one that wont deceive me or lie and than take a day off",feedback,3
I SPECIFICALLY chose @116245 at #TottenhamHale to pick an urgent order up today because your website says open till 9pm. It’s 8.10 and closed. I needed this for #tonight. #badcustomerservice please give me #complaint address,shipping_issue,3
And the match resumes! And I am still without washing powder. @sainsburys is there a minimum order for online shopping? #TheGoalsPoll #ENGBRA,general_query,1
@133343 @4100 @Morrisons @sainsburys Hi. I will try to contact Toton for you as you fall into their area. Let me know if you haven't heard anything by this afternoon,general_query,2
Yo @Delta tell the pilots of DL2576 they performed the best and smoothest landing I have ever experienced,feedback,1
@379410 We can gladly review your account if you would please DM your name and zip code. ^JD https://t.co/znUu1VJn9r,account_issue,2
@Delta is https://t.co/7o33vfkIzS down? I’m getting access denied.,technical_issue,3
